State,Statute,year,impound,fine,prison,Statutory Description
Alabama,No Applicable Statute,,,,, 
Alaska,No Applicable Statute,,,,, 
Arizona,No Applicable Statute,,,,, 
Arkansas,No Applicable Statute,,,,, 
Connecticut,No Applicable Statute,,,,, 
District of Columbia,No Applicable Statute,,,,, 
Hawaii,No Applicable Statute,,,,, 
Idaho,No Applicable Statute,,,,, 
Illinois,No Applicable Statute,,,,, 
Iowa,No Applicable Statute,,,,, 
Kentucky,No Applicable Statute,,,,, 
Maryland,No Applicable Statute,,,,, 
Michigan,No Applicable Statute,,,,, 
Minnesota,No Applicable Statute,,,,, 
Mississippi,No Applicable Statute,,,,, 
Missouri,No Applicable Statute,,,,, 
Nebraska,No Applicable Statute,,,,, 
Nevada,No Applicable Statute,,,,, 
New Jersey,No Applicable Statute,,,,, 
New Mexico,No Applicable Statute,,,,, 
New York,No Applicable Statute,,,,, 
North Carolina,No Applicable Statute,,,,, 
North Dakota,No Applicable Statute,,,,, 
Oklahoma,No Applicable Statute,,,,, 
Oregon,No Applicable Statute,,,,, 
Pennsylvania,No Applicable Statute,,,,, 
South Dakota,No Applicable Statute,,,,, 
Texas,No Applicable Statute,,,,, 
Utah,No Applicable Statute,,,,, 
Virginia,No Applicable Statute,,,,, 
West Virginia,No Applicable Statute,,,,, 
Wyoming,No Applicable Statute,,,,, 
Vermont,§673(a). Habitual Offenders,year,,,,"(A) The commissioner of motor vehicles shall revoke the license of an operator or the right of an unlicensed person to operate a motor vehicle for a period of two-years when the person is a “habitual violator” of the motor vehicle laws.
 
(B) The term “habitual violator” shall mean any person who has been convicted in any court in this state of eight or more moving violations each of which would result in point assessments of six or more points, including violations of §1201, arising out of different incidents within a consecutive period of five years.
 
(C) The person may within 15 days of the notice of revocation request a hearing solely for the purpose of verifying the conviction record and the revocation shall not take effect until the hearing has been held and the record has been verified."
Kansas,§6-285. “Habitual Violation” Defined; Other Definitions,year,,,,"The term “habitual violator” means any resident or nonresident person who, within the immediately preceding five-years, has been convicted in this or any other state:
(a) Three or more times of:
(1) vehicular homicide;
(2) violating K.S.A. §8-1567;
(3) driving while the privilege to operate a motor vehicle on the public highways of this state has been canceled, suspended or revoked;
(4) perjury resulting from a violation of K.S.A. §8-261a;
(5) violating the provisions of the fifth clause of K.S.A. §8-142 relating to fraudulent applications or violating the provisions of a law of another state which is in substantial conformity with that statute;
(6) any crime punishable as a felony, if a motor vehicle was used in the perpetration of the crime;
(7) failing to stop at the scene of an accident and perform the duties required by the law or required by any ordinance of any city in this state, any resolution of any county in this state or a law of another state which is in substantial conformity with those statutes;
(8) a violation relating to motor vehicle liability insurance coverage or an ordinance of any city in this state or a resolution of any county in this state which is in substantial conformity with such statute; or
(9) violating K.S.A. §8-1025 or violating an ordinance of any city in this state, a resolution of any county in this state, or any law of another state which ordinance, resolution or law declares to be unlawful the acts prohibited by that statute.
 
(b) Three or more times, either singly or in combination, of any of the offenses enumerated in subsection (a).
 
Conviction includes, but is not limited to, a diversion agreement entered into in lieu of further criminal proceedings, or a plea of nolo contendere, on a complaint, indictment, information, citation or notice to appear alleging a violation of K.S.A. §8-1567 or K.S.A. §8-1025 or an ordinance of a city in this state, a resolution of a county in this state, or law of another state that ordinance or law prohibits the acts prohibited by those statutes."
Tennessee,§55-10-603. Definitions,year,,,,"(1) “Conviction” means a final conviction. A forfeiture of bail or other security deposited to secure a defendant's appearance in court, which forfeiture has not been vacated, is a conviction for the purposes of this part.
 
(2) “Habitual offender” means:
(a) Any person who, during a three-year period, is convicted in a Tennessee court or courts of three or more of the following offenses; any person who, during a five-year period, is convicted in a Tennessee court or courts of three or more of the following offenses; or any person who, during a 10-year period, is convicted in a Tennessee court or courts of five or more of the following offenses; provided, that if the five- or 10-year period is used, one of the offenses occurred after July 1, 1991:
(i) voluntary manslaughter resulting from the operation of a motor vehicle;
(ii) vehicular homicide;
(iii) involuntary manslaughter resulting from the operation of a motor vehicle;
(iv) vehicular assault;
(v) a violation relating to the meeting or overtaking school buses;
(vi) a violation relating to the duty to stop at the scene of an accident resulting in injury or death;
(vii) a violation relating to the duty to stop at the scene of an accident resulting only in damage to a vehicle driven or attended by any person;
(viii) a violation of intoxicated or drugged persons driving or being in physical control of any automobile or other motor vehicle;
(ix) a violation relative to aggravated vehicular homicide;
(x) a violation relative to adult driving while impaired;
(xi) a violation of reckless driving;
(xii) a violation relative to drag racing;
(xiii) a violation relating to evading arrest in a motor vehicle;
(xiv) a violation relating to reckless endangerment by use of a motor vehicle; or
(xv) a violation relating to driving on a cancelled, suspended, or revoked license if the underlying offense resulting in the cancellation, suspension, or revocation is an offense enumerated in subdivision (2)(A)(i)-(2)(A)(xiv).
 
(b) The violation of an ordinance of any political subdivision of this state shall be equivalent to the violation of state statutes if the elements of the offense covered by the ordinance are the same as the elements of the offense covered by the comparable state statute.
 
(3) “Tennessee courts” includes not only state courts, but also courts of local jurisdiction."
