state,Body Camera Laws
policies,"Written Body-Worn Camera Policies

Nineteen states and the District of Columbia require written policies in order for law enforcement to use or receive funding for body-worn cameras. Legislation sets statutory minimum standards for policies, requires state entities to write or coordinate the development of policies and charges individual departments with creating their own policies. Maryland’s law, for example, requires the Police Training Commission to develop and publish a body-worn camera policy that addresses when recording is mandatory, when it is prohibited, how to handle access for review, retention standards for recordings and consequences for officers who violate the policy or alter recordings. Texas’ law requires individual departments to have policies that include a data retention period of at least 90 days, procedures for officer access to recordings and reporting requirements for documenting equipment malfunction. The law also prohibits any policy from requiring that officers film their entire shift. South Carolina requires departments to submit their policies to the Law Enforcement Training Council for approval. Utah’s law requires agencies using body cameras to mandate in their policies that officers wear them while executing search warrants."
eavesdropping,"Body-Worn Camera Data and Eavesdropping Laws

Wiretapping or eavesdropping laws prohibit the surreptitious recording of interactions between people. Seven states - California, Georgia, Illinois, Nevada, New Hampshire, Pennsylvania and Oregon - have made exceptions to their eavesdropping laws for police officers wearing body cameras while in the performance of their duties. Oregon’s law provides additional guidance for their eavesdropping exception, stating it does not apply if the officer fails to announce the conversation is being recorded and had an opportunity to do so without jeopardizing their safety or impairing a criminal investigation. If the officer violates this provision, the body camera data is inadmissible as evidence."
records,"Body-Worn Camera Data and Open Record Laws

Twenty-three states and the District of Columbia have legislated how body-worn camera data is addressed under open record laws. In statute, states specify procedures for the public to request footage and which footage is and is not to be released to the public. The goal of these provisions is to be transparent in law enforcement without unnecessarily infringing on privacy.

Laws in Connecticut, Nevada, North Dakota, Oklahoma and Texas treat body camera recordings as public records, but provide standards and many caveats for when police may withhold, redact or obscure certain videos. Connecticut, for example, excludes specific incidents from its open records laws including footage containing: communication between police officers and undercover officers or informants, any medical or psychological treatment and victims of domestic or sexual abuse, homicide, suicide or accidental death. Oklahoma’s law allows footage containing the death of a person, or violence against a person, to be redacted unless the harm was caused by law enforcement. Texas’ law provides that only body camera footage that is used, or could be used, as evidence in a criminal proceeding is subject to the state’s open record law and specifically prohibits the release of any footage taken in a private place, or that contains behavior that didn’t result in an arrest and would only be a misdemeanor punishable by a fine. In addition, North Dakota makes any recording made in a private place by a police officer’s or firefighter’s body camera exempt from the state’s open records law.

Laws in Florida, Georgia, Illinois, Oregon and South Carolina exclude body-worn camera footage from open record requests, but provide several exceptions that enable access to videos by specific persons or for specific situations. Georgia’s law, for example, grants video access to specific people, including those who believe the video would be relevant to a pending criminal case or civil action. Florida’s law has exceptions that enable video to be released to a person who is the subject of the recording, to prove that a person resided in a certain dwelling or pursuant to court order. For court orders, the judicial official can consider several factors including, whether disclosure is necessary to advance a compelling interest, if the information is being requested to address a legal issue, if the information would reveal highly sensitive or personal information and its impact on the fair, impartial, and orderly administration of justice. Oregon’s law enables video to be released if it serves the public interest. South Carolina’s law enables law enforcement and the attorney general to release video at their discretion. In addition, certain persons are entitled to receive videos, including the subject of the recording, a criminal defendant or civil litigant and to a person whose property has been damaged.

State laws also address how much video data a requester may access, and what standards they must meet to access the data. For example, Nevada’s law requires that video be requested on a per incident basis, and enables law enforcement to only provide the information at the location the video is being stored if it contains confidential information that cannot otherwise be redacted.  Oregon’s law requires a requester to identify the approximate date and time of the incident and allows law enforcement to only release footage reasonably tailored to the public interest. Their law also requires all persons’ faces within the recording be rendered unidentifiable. Texas addresses how to respond to requests for large amounts of data. Their law defines a “voluminous public information request” as a request for recordings that includes more than five separate incidents, more than five separate requests from the same person in a 24-hour period, or a request that totals more than five hours of footage. Under the law, these requests are answered adequately if they are responded to within 20 business days.

The District of Columbia’s body camera law requires the Mayor to establish rules that set standards for public access to recordings and to establish procedures for auditing the program, and tracking the cost for open record requests.

Texas law enables the attorney general to charge a fee of requesters to cover the cost of reviewing and making the recording. The fee can be waived if law enforcement determines it serves the public interest."
funding,"Body-Worn Camera Funding

Thirteen states and the District of Columbia have legislated funding opportunities for state and local police departments to purchase body camera equipment, hire new support staff and operate or purchase data systems.

California (for a pilot program) and Nevada (for full department implementation) appropriated funds to their state highway patrols to implement body camera programs. California also authorized the Board of State and Community Corrections to provide grants to local law enforcement agencies for initiatives that strengthen community-police relations, including any one-time body camera program costs.

North Carolina and Texas created matching grant programs to support law enforcement agencies in the development of their body camera programs. In North Carolina, the fund will be administered by the Governor's Crime Commission and agencies must provide $2 for every $1 of grant funds received. In Texas, the office of the governor is required to administer the grant program, which will require a match of 25 percent of grant funds by participating police departments.

Colorado, Connecticut, Illinois, and Massachusetts also created grant programs to aid local police departments with the purchase and operation of body-worn cameras. Massachusetts implemented a competitive grant program for municipalities to develop pilot programs. The secretary of public safety and security shall distribute grants on a competitive basis, reviewing applicants’ plans for camera use, privacy protections, video retention and access, and program evaluation. Connecticut’s law created separate grants-in aid for state police (totaling $2 million) and local police departments (totaling $13 million,) for the purchase of body-worn camera equipment and digital data storage.

South Carolina’s law creates a body-worn cameras fund, administered by the public safety coordinating council, to assist police with the costs of buying, operating and maintaining all necessary equipment. In South Carolina the law requires all departments in the state to implement a body-worn camera program, but not until they receive full state funding.

The District of Columbia’s new law created the Metropolitan Police Department Body-Worn Camera Fund for the purpose of procuring a vendor to redact body-worn camera footage. According to the Act’s fiscal statement, the cost of supporting video redaction efforts is estimated to be $10,266,424 over the next four fiscal years."
use,"Requirements to Wear Body Cameras

Five states have enacted laws that require at least some officers to use body-worn cameras. South Carolina’s law requires, contingent on state funding, that every police department implement a body camera program. In Nevada and California, their laws require certain members of their state highway patrol to wear body cameras. Connecticut’s law requires their division of state police and special police forces, as well as, municipal police officers receiving grant funds to wear body cameras while interacting with the public."
studies,"Body-Worn Camera Studies

Ten states and the District of Columbia have authorized pilot programs or charged work groups or agencies with studying body-worn cameras.

California’s law, for example, requires the state highway patrol to implement a body-worn camera pilot program. The program must use practical experience to inform best practices, including evaluating whether officers should be allowed to use privately owned cameras and determining how data should be shared internally. Massachusetts is utilizing a state grant program to fund pilot programs for local law enforcement agencies around the state.

Arizona, Colorado, Connecticut, Louisiana, Maryland and South Carolina created work groups or assigned agencies to make recommendations for body-worn camera programs. Louisiana, for example, created the Law Enforcement Body camera Implementation Task Force to evaluate proper training requirements for police officers using cameras, situations when body-worn cameras should be turned on and off and how video and audio data should be stored, retained and released. Similarly, Connecticut’s law requires their Commissioner of Emergency Services and Public Protection and the Police Officer Standards and Training Council to evaluate and approve the minimal technical specifications of body-worn recording equipment. South Carolina’s law requires the Law Enforcement Training Council to study jurisdictions in their state already using body cameras in order to develop statewide guidelines that will inform individual department policy."
general,Click the specific state to populate its state laws.
Arizona,"Arizona (SB 1300) (2015) created a Law Enforcement Officer Body camera Study Committee to recommend new policies and legislation for their use and operation. The study committee’s final report is due by Dec. 31, 2015."
Arkansas,"Arkansas (HB 1236) (2017) provides that a record that depicts the death of a law enforcement officer is confidential and exempt from disclosure under the Freedom of Information Act. Provides an exception that a family member of the deceased law enforcement officer may access a record. The record custodian shall not permit a person not authorized to copy, disseminate, reproduce, transmit, or access a record. A person or persons designated as the custodian of a record who knowingly violates this section upon conviction is guilty of a Class D felony. The law provides for access to these records by petitioning a circuit court in the county where a record is physically located. At a hearing held on these petitions, any review of a record shall be conducted in private. Upon a showing of good cause, a circuit court may issue an order authorizing a person or entity access to a record and may prescribe restrictions or stipulations pertaining to the access of the record that the court deems appropriate, including whether to allow for the copying or public disclosure of a record. In determining good cause, the circuit court shall consider the following factors, along with other factors that the court may deem relevant: (A) Whether access to the record is necessary for the public evaluation of a law enforcement officer's conduct during the performance of his or her official duties. (B) Whether there is a compelling public interest in the disclosure of the record. (C) The seriousness of the intrusion into the privacy of the deceased law enforcement officer's family members. (D) The availability of similar information in other forms.

The law requires a custodian of a record be given notice of a petition filed with a circuit court to access a record, be given the opportunity to be present and heard at any hearing on the matter. In addition to custodian, the following people shall be provided notice: (A) The surviving spouse of the deceased law enforcement officer, if any; (B) If the deceased law enforcement officer has no surviving spouse, the parents of the deceased law enforcement officer, if any; or (C) If the deceased law enforcement officer has no surviving parents and no surviving spouse, the adult children of the deceased officer law enforcement officer. This law specifically does not: (A) Prohibit a judge, jury, attorney, court personnel, or other persons necessary to a criminal, civil, or administrative proceeding involving the death of a law enforcement officer from viewing a record. (B) Overturn, abrogate, or alter a court order that exists on the effective date of this act that restricts, limits, or grants access to a record. (C) Prohibit a law enforcement agency involved in an official investigation of a death of a law enforcement officer, including without limitation, the law enforcement agency by whom the deceased law enforcement officer was employed at the time of his or her death, the Department of Arkansas State Police, and the Federal Bureau of Investigation, from obtaining a record for the purpose of conducting an official investigation pertaining to the death of a law enforcement officer.

It also does not prohibit the use of a record for law enforcement officer training conducted by an entity authorized to conduct law enforcement training, including without limitation: (A) The Law Enforcement Training Academy; (B) The Criminal Justice Institute; (C) The Arkansas Law Enforcement Training Academy; or (D) Other law enforcement officer training programs. It also does not prohibit a prosecuting attorney, deputy prosecuting attorney, defense counsel pursuant to a motion of discovery, their staff, or attorneys involved in civil litigation involving the death of a law enforcement officer from accessing or copying a record."
California,"California (AB 69) (2015) requires police departments to consider certain best practices when developing rules for downloading and storing body-worn camera data. Practices to consider include: establishing protocols and temporal standards for downloading data, developing measures to prevent misuse or tampering of the data, categorizing the nature of incidents at the time of download and stating the length of time the data must be stored. The guidelines recommend storing data from “non-evidentiary incidents” for 60 days and a minimum of two years in situations where force is used, an arrest is made, or where a complaint has been made against an officer or agency. Storage procedures should ensure evidentiary chains of custody are preserved, records of access and deletion of data are retained permanently and identify where body camera data should be stored. It also requires certain elements to be considered if third-party data storage vendors are used. In addition, the law requires police departments to retain ownership of body cameras, which shall not be accessed or released for any unauthorized purpose, and are explicitly prohibited from being uploaded onto public and social media Internet Web sites.

California (AB 93) (2015) appropriates $10 million to the Board of State and Community Corrections to administer grants that strengthen police-community relations, including grants to address any one time body-worn camera program costs.

California (SB 424) (2015) provides that provisions prohibiting eavesdropping and recording or intercepting certain communications do not prohibit officers from using or operating body-worn cameras.

California (SB 85) (2015) requires the California Highway Patrol, on or before Jan. 1, 2016, to develop a plan for implementing a body-worn camera pilot program. The pilot program shall explore: which officers should be assigned to wear a body  camera and the circumstances under which the cameras should be worn, the minimum specifications for body-worn cameras, the practicality of an officer using a privately owned body camera, the best locations on the officer's body where the camera should be worn, best practices for officers to notify members of the public that they are being recorded, who should retain body camera data and how they should do it, best practices for officer review of recorded body-worn camera data and body-worn camera data’s use for training.

California (AB 1953) (2016) requires police departments that are establishing body camera policies and procedures to consider enumerated best practices. Best practices include (1) designating a person responsible for downloading the recorded data from the body-worn camera. (If the storage system does not have automatic downloading capability, the officer's supervisor should take immediate physical custody of the camera and be responsible for downloading the data in the case of an incident involving the use of force by an officer, an officer-involved shooting, or other serious incident.) (2)  Establishing procedures for when data should be downloaded and how it should be tagged and categorized. (3) Establish specific measures to prevent data tampering, deleting, and copying, including prohibiting the unauthorized use, duplication, or distribution of body-worn camera data. (4) Specifically state the length of time that recorded data is to be stored. Non-evidentiary data should be retained for a minimum of 60 days, after which it may be erased, destroyed, or recycled. An agency may keep data for more than 60 days to have it available in case of a civilian complaint and to preserve transparency. Body camera data should be kept for two years if: it involves use of force by a peace officer or an officer-involved shooting, the recording is of an incident that leads to the detention or arrest of an individual; or the recording is relevant to a formal or informal complaint against a law enforcement officer or a law enforcement agency. If evidence that may be relevant to a criminal prosecution is obtained from a recording made by a body-worn camera under this section, the law enforcement agency should retain the recording for any time relevant to a criminal prosecution. (5) Records or logs of access and deletion of data from body-worn cameras should be retained permanently. (6) Specify where the body-worn camera data will be stored. (7) If using a third-party vendor to manage the data storage system, consider using a reputable third-party vendor. Do this by entering into contracts that govern the vendor relationship and protect the agency's data, using a system that prevents data tampering and unauthorized access and has a reliable method for automatically backing up data for storage.

Requires that all body-worn camera data be the property of a law enforcement agency. Data cannot be used for personal use and prohibits data from being uploaded onto public and social media internet websites. Sanctions must be included for violations. Nothing in this section shall be interpreted to limit the public's right to access recorded data under the California Public Records Act.

California (AB 459) (2017) specifies that the California Public Records Act does not require disclosure of a video or audio recording that was created during the commission or investigation of the crime of rape, incest, sexual assault, domestic violence or child abuse that depicts the face, intimate body part, or voice of a victim of the incident depicted in the recording. The law also requires a law enforcement agency to justify withholding such a video or audio recording by demonstrating that the public interest served by not disclosing the recording clearly outweighs the public interest served by disclosure of the recording. The law authorizes a victim who is a subject of such a recording to be permitted to inspect the recording and to obtain a copy of the recording"
