States,Citation,year,impound,fine,prison,Penalties
Puerto Rico,No Information,,,,, 
Alaska,§28.15.291,,,,prison,"(First Offense) Class A Misdemeanor: 10 day suspended imprisonment provided at least 80 hours of community service are completed; possible forfeiture of vehicle; license suspension increased by at least 90 days.
(Subsequent Offense) Class A Misdemeanor: Imprisonment for at least 10 days; possible forfeiture of vehicle; license suspension increased by at least 90 days."
Arkansas,§27-16-303,,,$,prison,Misdemeanor: Imprisonment for between 2 days and 6 months; possible fine of not more than $500.
Kansas,§8-262,,,$,prison,"(First Offense) Class B Nonperson Misdemeanor: Imprisonment for at least 5 days; fine of at least $100.
(Subsequent Offense) Class A Nonperson Misdemeanor: Imprisonment without eligibility for parole until completion of 5 days; fine of at least $100.
License suspension increased by 90 days."
Minnesota,"§171.24
§609.02",,,$,prison,"Misdemeanor: Imprisonment for no more than 90 days, fine of no more than $1,000, or both."
Mississippi,§63-11-40,,,$,prison,Misdemeanor: Imprisonment for between 48 hours and 6 months; $200-$500 fine; license suspension increased by 6 months.
New Jersey,"N.J.S.A.
39:3-40",,,$,prison,"(First Offense): $500 fine.
(Second Offense): Imprisonment for 1-5 days; $750 fine.
(Subsequent Offense): Imprisonment for 10 days; $1,000 fine.
License suspension increased by no more than 6 months."
New Mexico,§66-5-39,,,$,prison,"Misdemeanor: Imprisonment for 4-364 days; possible fine of no more than $1,000.
Possible vehicle immobilization."
New York,V&T 511,,,$,prison,"(First Offense) Misdemeanor: Imprisonment for no more than 30 days, $200-$500 fine, or both.
(Subsequent Offense) Misdemeanor: Imprisonment for no more than 180 days; fine of no less than $500."
Rhode Island,"§31-11-18
HB 7679 (2016)",,,$,prison,"(First Offense) Violation: $250-$500 fine.
(Second Offense): $350-$500 fine
(Subsequent Offense) Misdemeanor: Imprisonment for up to 90 days, $500-$1,000 fine, or both and license suspension up to 90 days. "
South Carolina,§56-1-460,,,$,prison,"(First Offense): Imprisonment for no more than 30 days, $300 fine, or both.
(Second Offense): Imprisonment for no more than 60 days, $600 fine, or both.
(Subsequent Offense): Imprisonment for no more than 90 days; $1,000 fine."
Tennessee,"§55-12-131
§55-50-504",,,$,prison,"(Non-Resident) Class B Misdemeanor: Imprisonment for not more than 6 months, fine of no more than $500, or both.
(Resident) (First Offense) Class B Misdemeanor: Imprisonment for not more than 6 months, fine of no more than $500, or both; license suspension increased by like period of time.
(Resident) (Subsequent Offense) Class A Misdemeanor: Imprisonment for not more than 11 months, 29 days, fine of no more than $2,500, or both; license suspension increased by like period of time."
