"Overall Rank
(1=Strictest)",State,Overall Score,Reckless Penalties Rank,Speeding Enforcement Rank
1,Delaware,20,1,8
2,Colorado,18,2,11
T - 3,Arizona,17,7,2
T - 3,New Mexico,17,7,2
5,California,16.5,4,11
6,Oregon,16,6,8
7,North Carolina,14.5,12,5
T - 8,Illinois,14,16,4
T - 8,Virginia,14,25,1
T - 8,Alabama,14,7,19
T - 8,Washington,14,12,8
12,Arkansas,13.5,3,40
T - 13,West Virginia,12.5,5,36
T - 13,MaryLand,12.5,25,5
15,Kansas,12,7,32
16,Iowa,11.5,22,17
T - 17,Wyoming,11,11,32
T - 17,Vermont,11,12,29
T - 17,Georgia,11,25,17
T - 20,District Of Columbia,10.5,34,11
T - 20,New York,10.5,41,5
T - 20,Florida,10.5,34,11
T - 20,Rhode Island,10.5,25,19
T - 24,Hawaii,10,25,23
T - 24,Alaska,10,16,29
T - 24,Louisiana,10,40,11
T - 24,Maine,10,16,29
28,Idaho,9.5,12,40
T - 29,Missouri,8.5,41,19
T - 29,Tennessee,8.5,41,19
T - 29,Pennsylvania,8.5,45,11
T - 29,South Dakota,8.5,16,40
T - 29,Utah,8.5,25,32
T - 34,Indiana,8,41,23
T - 34,Connecticut,8,25,36
T - 34,Minnesota,8,25,36
T - 34,Nevada,8,22,40
T - 34,North Dakota,8,22,40
T - 39,Massachusetts,7,34,36
T - 39,New Hampshire,7,16,49
T - 39,Michigan,7,16,49
T - 39,Wisconsin,7,45,23
T - 43,Kentucky,6.5,45,26
T - 43,Montana,6.5,33,45
T - 43,Ohio,6.5,45,26
T - 43,South Carolina,6.5,45,26
T - 47,Nebraska,6,34,45
T - 47,New Jersey,6,34,45
T - 49,Oklahoma,5.5,34,48
T - 49,Mississippi,5.5,45,32
51,Texas,2.5,45,51
